lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 types names studies
12.87890 49.14423 -0.05259 0.13232 0.11695 0.12439 0.13968 0.35601 0 0 0 GNSS wrlg_wt21_wt33_wtz2_wtz3_wtza_wtzj_wtzl_wtzm_wtzr_wtzs_wtzt_wtzz dagostino20(dagostino20)_demets20(demets20)_eposuga(eposuga)_itrf20gnss(itrf20gnss)_kreemer14(UNR)_mantovani15(mantovani15)_measures(measures)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_porkolab23(EPND)_porkolab23(NGL)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_steffen25(steffen25)_vardic21(vardic21)_wangshen20(wangshen20)
91.10400 29.65733 17.51033 18.66806 1.00804 0.39277 0.33896 0.34402 0 0 0 GNSS lha0_lhas_lhaz ULR5(ULR5)_barman17(barman17)_castroperdomo22(castroperdomo22)_devachandra14(devachandra14)_fang22(fang22)_fu12(fu12)_gupta15(gupta15)_itrf20gnss(itrf20gnss)_jade11(jade11)_jade14(jade14)_jade20(jade20)_kreemer14(UNR)_measures(measures)_pan21_vert(pan21_vert)_pappachen21(pappachen21)_ray19(ray19)_rudenko13(rudenko13)_rui19(rui19)_saji20(saji20)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_steckler16(steckler16)_timofeev24(timofeev24)_vila20(vila20)_wang17(wang17)_wangshen20(wangshen20)_zhao23_vert(zhao23_vert)_zheng17(zheng17)_zhou16(zhou16)
50.60815 26.20914 3.50565 21.83288 -0.42820 0.39591 0.42264 0.47991 0 0 0 GNSS bahr_bhr1_bhr2_bhr3_bhr4 ULR5(ULR5)_alothman16(alothman16)_gupta15(Mahesh_GondwanaResearch_2012)_itrf20gnss(itrf20gnss)_jade11(jade11)_khorrami19(khorrami19)_kreemer14(UNR)_measures(measures)_palano13(ArRajehietal2010)_pappachen21(pappachen21)_rashwan21(rashwan21)_rudenko13(rudenko13)_rui19(vernant14)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_steckler16(steckler16)_vardic21(vardic21)_viltres22(viltres22)_wangshen20(wangshen20)
16.70455 40.64906 0.74926 4.27482 0.26297 0.14452 0.15683 0.24237 0 0 0 GNSS mat1_mate_matg_matz ULR5(ULR5)_castroperdomo22(castroperdomo22)_dagostino20(dagostino20)_eposuga(eposuga)_itrf20gnss(itrf20gnss)_kreemer14(UNR)_mantovani15(mantovani15)_measures(measures)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_rashwan21(rashwan21)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)_steffen25(steffen25)_wangshen20(wangshen20)
7.46510 46.87710 -0.05696 0.40739 0.75300 0.13179 0.12744 0.25805 0 0 0 GNSS zim2_zim3_zimj_zimm castroperdomo22(castroperdomo22)_demets20(demets20)_eposuga(eposuga)_itrf20gnss(itrf20gnss)_kreemer14(UNR)_measures(measures)_nocquet16(nocquet16)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rashwan21(rashwan21)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)_steffen25(steffen25)
104.31620 52.21902 -1.40380 -0.00676 0.23293 0.22903 0.18528 0.22223 0 0 0 GNSS irkj_irkm_irkt ULR5(ULR5)_demets20(demets20)_gaoran_lss(gaoran_lss)_gaoran_med(gaoran_med)_itrf20gnss(itrf20gnss)_kreemer14(UNR)_measures(measures)_pappachen21(pappachen21)_rui19(rui19)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_shevchenko21(shevchenko21)_sokhadze18(sokhadze18)_steckler16(steckler16)_vardic21(vardic21)_wangshen20(wangshen20)_zheng17(UNR)_zhou16(zhou16)
80.95564 26.91220 8.08685 34.74825 -2.29200 0.62529 0.44346 0.78200 0 0 0 GNSS lck1_lck2_lck3_lck4_lcki_lckm demets20(demets20)_fang22(fang22)_itrf20gnss(itrf20gnss)_jade20(jade20)_jouanne17(jouanne17)_measures(measures)_pappachen21(pappachen21)_rajewar26(rajewar26)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_vardic21(vardic21)_vila20(vila20)_wangshen20(wangshen20)
74.69427 42.67977 -1.15403 3.16911 0.74914 0.42928 0.47620 0.30478 0 0 0 GNSS pol2 ULR5(ULR5)_barman17(barman17)_castroperdomo22(castroperdomo22)_devachandra14(devachandra14)_dzwang20(dzwang20)_dzwang20(zheng17)_dzwang24(Zubovich_Tectonics_2010)_gupta15(gupta15)_itrf20gnss(itrf20gnss)_jade11(jade11)_jade14(jade14)_jade20(jade20)_kreemer14(UNR)_li18(wang17)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pan21_vert(pan21_vert)_pan22_vert(pan22_vert)_pappachen21(pappachen21)_rui19(rui19)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_sharma21(sharma21)_wang17(wang17)_wangshen20(wangshen20)_zheng17(UNR)_zhou16(zhou16)
21.03154 52.09730 -0.37729 -0.10404 -0.15491 0.11625 0.13233 0.32636 0 0 0 GNSS joz2_joze castroperdomo22(castroperdomo22)_dagostino20(dagostino20)_demets20(demets20)_eposuga(eposuga)_gaoran_lss(gaoran_lss)_gaoran_med(gaoran_med)_itrf20gnss(itrf20gnss)_kreemer14(UNR)_measures(measures)_pinavaldes22(pinavaldes22)_rashwan21(rashwan21)_rudenko13(rudenko13)_santamariagomez24(santamariagomez24)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_steffen25(steffen25)_vardic21(vardic21)
77.57038 13.02117 15.38323 34.32357 0.17903 0.47154 0.46056 0.47694 0 0 0 GNSS iisc ULR5(ULR5)_ader12(ader12)_barman17(barman17)_castroperdomo22(castroperdomo22)_demets20(demets20)_devachandra14(devachandra14)_fang22(fang22)_itrf20gnss(itrf20gnss)_jade11(jade11)_jade14(jade14)_jade20(jade20)_kreemer14(UNR)_measures(measures)_pappachen21(pappachen21)_rajewar26(rajewar26)_rudenko13(rudenko13)_rui19(rui19)_saji20(saji20)_santamariagomez24(santamariagomez24)_serpelloni22(serpelloni22)_sharma21(sharma21)_steckler16(steckler16)_vardic21(vardic21)_vila20(vila20)_wang17(wang17)_wangshen20(wangshen20)_zhou16(zhou16)
